position	var_name	gene_symbol	marker_name	ensembl_gene_id	highly_variable
30989	BX901973.1	BX901973.1	bx901973.1	ENSDARG00000116223	1
30990	CABZ01030282.1	CABZ01030282.1	cabz01030282.1	ENSDARG00000116224	0
30991	CT583728.26	si:dkeyp-3b12.13	si:dkeyp-3b12.13	ENSDARG00000116226	0
30992	CR848784.5	si:ch211-87m19.3	si:ch211-87m19.3	ENSDARG00000116227	0
30993	CU550697.1	CU550697.1	cu550697.1	ENSDARG00000116228	0
30994	CR926128.14	CR926128.14	cr926128.14	ENSDARG00000116231	0
30995	CR759843.4	CR759843.4	cr759843.4	ENSDARG00000116234	0
30996	BX323448.1	BX323448.1	bx323448.1	ENSDARG00000116236	0
30997	ccs-1	ccs-1	ccs-1	ENSDARG00000116246	0
30998	CR388172.12	CR388172.12	cr388172.12	ENSDARG00000116247	0
30999	SNORD24	SNORD24	snord24	ENSDARG00000116248	0
31000	pimr104	pimr104	pimr104	ENSDARG00000116254	0
31001	dre-mir-2185-1-1	dre-mir-2185-1-1	dre-mir-2185-1-1	ENSDARG00000116255	0
31002	chia.6-1	chia.5	chia.5	ENSDARG00000116259	0
31003	dre-mir-430b-10-8	dre-mir-430b-11	dre-mir-430b-11	ENSDARG00000116261	0
31004	CU138548.9	CU138548.9	cu138548.9	ENSDARG00000116266	0
31005	BX537277.2	BX537277.2	bx537277.2	ENSDARG00000116268	0
31006	BX470259.2	wu:fc31d10	wu:fc31d10	ENSDARG00000116271	0
31007	taar16f	taar16f	taar16f	ENSDARG00000116273	0
31008	AL645822.1	AL645822.1	al645822.1	ENSDARG00000116276	0
31009	BX649628.3	BX649628.3	bx649628.3	ENSDARG00000116277	0
31010	CU138548.10	CU138548.10	cu138548.10	ENSDARG00000116279	0
31011	CR388390.20	CR388390.20	cr388390.20	ENSDARG00000116282	0
31012	CABZ01023247.1	CABZ01023247.1	cabz01023247.1	ENSDARG00000116283	0
31013	taar19l	taar19l	taar19l	ENSDARG00000116284	0
31014	CU024870.3	CU024870.3	cu024870.3	ENSDARG00000116285	0
31015	CR318655.1	CR318655.1	cr318655.1	ENSDARG00000116289	0
31016	si:ch211-250e5.16	si:ch211-250e5.16	si:ch211-250e5.16	ENSDARG00000116290	0
31017	AL929195.9	AL929195.9	al929195.9	ENSDARG00000116291	0
31018	CR376742.1	CR376742.1	cr376742.1	ENSDARG00000116293	0
31019	FP016239.2	FP016239.2	fp016239.2	ENSDARG00000116297	0
31020	CR628395.1	CR628395.1	cr628395.1	ENSDARG00000116298	0
31021	zgc:165515	zgc:165515	zgc:165515	ENSDARG00000116300	0
31022	CABZ01039096.1	CABZ01039096.1	cabz01039096.1	ENSDARG00000116302	0
31023	CU137681.7	CU137681.7	cu137681.7	ENSDARG00000116305	0
31024	CR749163.3	CR749163.3	cr749163.3	ENSDARG00000116306	0
31025	CR847936.9	CR847936.9	cr847936.9	ENSDARG00000116310	0
31026	CABZ01053619.1	CABZ01053619.1	cabz01053619.1	ENSDARG00000116313	0
31027	CABZ01051901.2	CABZ01051901.2	cabz01051901.2	ENSDARG00000116320	0
31028	BX005461.4	BX005461.4	bx005461.4	ENSDARG00000116324	0
31029	CU855758.3	CU855758.3	cu855758.3	ENSDARG00000116325	0
31030	BX927341.5	BX927341.5	bx927341.5	ENSDARG00000116326	0
