id	name	kind	depth	is_a	part_of	start_stage	end_stage	synonyms
ZFA:0005375	dorsal fin distal radial 4	structure	6	ZFA:0000936	ZFA:0005367	ZFS:0000039	ZFS:0000044	
ZFA:0005376	dorsal fin distal radial 5	structure	6	ZFA:0000936	ZFA:0005368	ZFS:0000039	ZFS:0000044	
ZFA:0005377	dorsal fin distal radial 6	structure	6	ZFA:0000936	ZFA:0005369	ZFS:0000039	ZFS:0000044	
ZFA:0005378	dorsal fin distal radial 7	structure	6	ZFA:0000936	ZFA:0005370	ZFS:0000039	ZFS:0000044	
ZFA:0005379	dorsal fin distal radial 8	structure	6	ZFA:0000936	ZFA:0005371	ZFS:0000039	ZFS:0000044	
ZFA:0005380	dorsal fin proximal radial 3	structure	6	ZFA:0000947	ZFA:0005366	ZFS:0000039	ZFS:0000044	
ZFA:0005381	dorsal fin proximal radial 4	structure	6	ZFA:0000947	ZFA:0005367	ZFS:0000039	ZFS:0000044	
ZFA:0005382	dorsal fin proximal radial 5	structure	6	ZFA:0000947	ZFA:0005368	ZFS:0000039	ZFS:0000044	
ZFA:0005383	dorsal fin proximal radial 6	structure	6	ZFA:0000947	ZFA:0005369	ZFS:0000039	ZFS:0000044	
ZFA:0005384	dorsal fin proximal radial 7	structure	6	ZFA:0000947	ZFA:0005370	ZFS:0000039	ZFS:0000044	
ZFA:0005385	dorsal fin proximal radial 8	structure	6	ZFA:0000947	ZFA:0005371	ZFS:0000039	ZFS:0000044	
ZFA:0005386	foramen	structure	2	ZFA:0001643		ZFS:0000000	ZFS:0000044	foramina [EXACT]
ZFA:0005387	foramen magnum	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
ZFA:0005388	fossa	structure	2	ZFA:0001643		ZFS:0000000	ZFS:0000044	
ZFA:0005389	gill opening	structure	2	ZFA:0001643		ZFS:0000000	ZFS:0000044	
ZFA:0005390	gill ray	structure	5	ZFA:0001460	ZFA:0001613	ZFS:0000000	ZFS:0000044	
ZFA:0005391	head sensory canal system	structure	7	ZFA:0001468		ZFS:0000000	ZFS:0000044	
ZFA:0005392	infraorbital sensory canal	structure	4	ZFA:0005443	ZFA:0005391	ZFS:0000040	ZFS:0000044	
ZFA:0005393	otic sensory canal	structure	4	ZFA:0005443	ZFA:0005391	ZFS:0000000	ZFS:0000044	
ZFA:0005394	post-otic sensory canal	structure	4	ZFA:0005443	ZFA:0005391	ZFS:0000000	ZFS:0000044	postotic sensory canal [EXACT]
ZFA:0005395	preoperculo-mandibular sensory canal	structure	4	ZFA:0005443	ZFA:0005391	ZFS:0000000	ZFS:0000044	
ZFA:0005396	supraorbital sensory canal	structure	4	ZFA:0005443	ZFA:0005391	ZFS:0000041	ZFS:0000044	
ZFA:0005397	hyoideomandibular nerve	structure	4	ZFA:0007009	ZFA:0000664	ZFS:0000000	ZFS:0000044	
ZFA:0005398	anal fin actinotrichium	structure	5	ZFA:0005435	ZFA:0000167	ZFS:0000000	ZFS:0000044	anal fin actinotricia [EXACT]
ZFA:0005399	anal fin lepidotrichium 1	structure	7	ZFA:0001421		ZFS:0000000	ZFS:0000044	
ZFA:0005400	anal fin lepidotrichium 2	structure	7	ZFA:0001421		ZFS:0000000	ZFS:0000044	
ZFA:0005401	anal fin lepidotrichium 3	structure	7	ZFA:0001421		ZFS:0000000	ZFS:0000044	
ZFA:0005402	anal fin lepidotrichium 4	structure	7	ZFA:0001421		ZFS:0000000	ZFS:0000044	
ZFA:0005403	anal fin lepidotrichium 5	structure	7	ZFA:0001421		ZFS:0000000	ZFS:0000044	
ZFA:0005404	anal fin lepidotrichium 6	structure	7	ZFA:0001421		ZFS:0000000	ZFS:0000044	
ZFA:0005405	anal fin lepidotrichium 7	structure	7	ZFA:0001421		ZFS:0000000	ZFS:0000044	
ZFA:0005406	anterior myodome	structure	3	ZFA:0005388		ZFS:0000000	ZFS:0000044	
ZFA:0005407	anterior nasal barbel	structure	5	ZFA:0000622		ZFS:0000000	ZFS:0000044	
ZFA:0005408	maxillary barbel	structure	3	ZFA:0000622;ZFA:0001488	ZFA:0001114	ZFS:0000000	ZFS:0000044	ZMB [EXACT]
ZFA:0005409	pars superior ear	structure	4	ZFA:0001478	ZFA:0000217	ZFS:0000000	ZFS:0000044	
ZFA:0005410	pars inferior ear	structure	4	ZFA:0001478	ZFA:0000217	ZFS:0000000	ZFS:0000044	
ZFA:0005411	common crus	structure	4	ZFA:0005171	ZFA:0005409	ZFS:0000000	ZFS:0000044	
ZFA:0005412	transverse canal	structure	4	ZFA:0005171	ZFA:0001138	ZFS:0000040	ZFS:0000044	
ZFA:0005413	perilymph	structure	2	ZFA:0001487	ZFA:0005459	ZFS:0000000	ZFS:0000044	
ZFA:0005414	endolymph	structure	2	ZFA:0001487	ZFA:0005409;ZFA:0005410	ZFS:0000000	ZFS:0000044	
ZFA:0005415	inner ear foramen	structure	3	ZFA:0005386	ZFA:0000217	ZFS:0000000	ZFS:0000044	
ZFA:0005416	sacculoagenar foramen	structure	4	ZFA:0005415		ZFS:0000000	ZFS:0000044	
ZFA:0005417	utriculosaccular foramen	structure	4	ZFA:0005415		ZFS:0000000	ZFS:0000044	
ZFA:0005418	auditory fenestra	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	auditory fenestrae [EXACT]
ZFA:0005419	auditory foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
